,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
5311,Gym Class Heroes,As Cruel as School Children,Clothes Off!!,6miqdoICzUXCL5UHCuucjK,0.761,0.69,11,-5.56,1,0.11,0.0225,0,0.34,0.742,114.987,235480,4,8.0
5312,Ludacris,Release Therapy,Runaway Love,5RUJkcEbnbiM4JPdUgdJqj,0.405,0.721,1,-6.97,1,0.283,0.329,0,0.252,0.815,92.854,280680,4,0.0
5313,Tom Misch,Geography,It Runs Through Me,02CygBCQOIyEuhNZqHHcNx,0.802,0.607,11,-11.028,0,0.289,0.205,0.000748,0.246,0.274,96.916,261881,4,0.0
5314,Tom Misch,Geography,Water Baby,6Pd20wirRDM9k4e69px3dN,0.666,0.537,8,-10.467,1,0.249,0.477,0.0208,0.0656,0.653,93.002,271530,4,0.0
5315,Freddie Slack,Freddie Slack - Best Of The Capitol Years,Two Left Hands,59ufAQ0kg8BFH1R2LbSSSV,0.701,0.31,2,-10.397,1,0.0535,0.929,2.76e-05,0.103,0.742,154.637,180333,4,16.0
5316,Kero Kero Bonito,Flamingo,Flamingo,3AaiEsiqHO2ylnnOdWninE,0.788,0.49,8,-6.287,1,0.511,0.313,0,0.0968,0.79,177.865,197528,4,0.0
5317,Kero Kero Bonito,Bonito Generation,Picture This,0f2uHiRUJoiUIPVzcpPosh,0.744,0.821,11,-4.549,0,0.0367,0.00139,6.11e-05,0.112,0.674,106.975,204497,4,14.0
5318,Kero Kero Bonito,Intro Bonito,Intro Bonito,2H6VfwQm0C6QATbYWmuj0e,0.701,0.839,10,-3.454,1,0.083,0.0485,0.000514,0.118,0.853,101.995,165294,4,8.0
5319,Kero Kero Bonito,Bonito Generation,Break,6u4xZnL4W0YSLXw24k2zlJ,0.848,0.734,11,-5.072,1,0.0506,0.168,0.00331,0.0512,0.859,96.009,196875,4,8.0
5320,Kero Kero Bonito,Bonito Generation,Trampoline,3LuLUNgRmmgcr14dTIWH2S,0.856,0.863,10,-4.318,0,0.057,0.0525,0,0.384,0.673,124.998,243840,4,14.0
5321,Tegan and Sara,So Jealous,Walking with a Ghost,7ImkjvM1OKWhJ5HIPOHcHE,0.788,0.541,6,-5.987,0,0.0387,0.125,0.000231,0.0679,0.928,118.058,150293,4,14.0
5322,As Tall As Lions,As Tall as Lions,"Love, Love, Love (Love, Love)",0kjENFsuwLGWkGYThzQDbJ,0.501,0.623,8,-6.211,0,0.0391,0.269,0,0.635,0.322,61.089,273080,4,7.0
5323,Breaking Benjamin,We Are Not Alone,Forget It,2lVLgsRENLhr7lCq88udyX,0.625,0.682,8,-6.845,1,0.034,0.0308,0.00606,0.108,0.321,119.972,216987,4,19.0
5324,Green Day,Insomniac,Brain Stew,1nLnpLXvl68RZCSjfkyiaa,0.559,0.543,1,-5.429,1,0.302,0.00133,2e-05,0.0577,0.337,75.958,193000,4,0.0
5325,Fats Waller,The Essential Fats Waller,Ain't Misbehavin' - Remastered,1ziXFrJy3NXdQgJB7Joq7m,0.524,0.252,0,-15.591,0,0.0477,0.813,0.00169,0.297,0.365,96.356,237147,4,11.0
5326,Creedence Clearwater Revival,Bayou Country,Proud Mary,2EZc13S7YRi6bTS3SKteRN,0.72,0.391,2,-16.595,1,0.0342,0.163,8.29e-05,0.046,0.786,120.794,187227,4,16.0
5327,Cigarettes After Sex,Affection,Affection,1lusH0zFDRV1ThaFYsUgfi,0.403,0.417,7,-11.252,1,0.0257,0.5,0.889,0.105,0.251,89.966,311000,4,6.0
5328,Disturbed,Evolution (Deluxe Edition),The Best Ones Lie,6IgLdbp4k0Zcp7JSQAoHUj,0.48,0.979,7,-2.729,1,0.128,0.000111,1.13e-05,0.0618,0.677,150.011,242800,3,5.0
5329,Ghost,Prequelle,Witch Image,0bog7rv4F6iffTSWcYQHeq,0.553,0.826,0,-5.819,0,0.0344,0.000438,0.00344,0.0823,0.468,119.984,210320,4,17.0
5330,Travis Scott,ASTROWORLD,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,312820,4,0.0
5331,Travis Scott,ASTROWORLD,COFFEE BEAN,6vnfObZ4Ys70SBAtti1xZ9,0.81,0.582,5,-5.098,0,0.125,0.0862,0.00681,0.207,0.503,95.004,209116,4,17.0
5332,Rasputina,Cabin Fever!,Thimble Island,0mEzueKBJc4qBqOe3RCSn7,0.441,0.638,7,-6.097,1,0.0269,0.0525,0.00125,0.311,0.564,84.126,161120,4,19.0
5333,Sammy Hagar,Standing Hampton,Heavy Metal,1XxUDJp9zsjd6tBSvE3la4,0.276,0.639,2,-11.674,1,0.0471,0.0178,0,0.292,0.643,186.502,230507,4,1.0
5334,CAKE,Comfort Eagle,Love You Madly,5jhfa76FhqtD3Boij6MAKS,0.752,0.809,9,-8.399,1,0.0598,0.0908,9.41e-05,0.169,0.658,106.999,237827,4,8.0
5335,Finger Eleven,Tip,Quicksand,0uyTTaelet0Hwnd5qH8uq3,0.343,0.9,8,-5.754,1,0.0633,0.000263,0.000674,0.0325,0.573,166.116,246200,4,1.0
5336,Foster The People,Torches,Waste,2UyWClHKt6fut3IpS2tJiR,0.681,0.736,8,-6.269,1,0.0288,0.0633,7.96e-06,0.0596,0.849,125.976,205587,4,8.0
5337,Taproot,Welcome,Poem,7mQwxVogsnpR3h6AJLQLlR,0.364,0.912,7,-2.968,1,0.107,0.000104,0.0025,0.086,0.666,105.368,189200,4,19.0
5338,Audiovent,Dirty Sexy Knights In Paris,The Energy,0j1pCFG3xQWRNxaGvzGbyp,0.429,0.934,2,-6.66,1,0.122,1.4e-05,0.00168,0.246,0.16,134.577,253144,4,10.0
5339,✝✝✝ (Crosses),✝✝✝ (Crosses),The Epilogue,0v61DRcLWZlesFoIdqD0mz,0.57,0.885,9,-4.189,1,0.0303,0.00153,0.303,0.102,0.356,89.99,235773,4,19.0
5340,Saliva,Every Six Seconds,Hollywood,017su0w44kFvJRJlc3pXeK,0.504,0.843,1,-3.844,1,0.0281,9.68e-05,0.104,0.242,0.423,78.963,230360,4,10.0
